,Name,Mileage,Price,Dealer Name,Link
146,2022 Audi SQ5 3.0T Premium,"10,227 mi.","$58,067",Corwin Ford Reno,/vehicledetail/d76e7a0b-a641-4a18-9452-565052afc278/
147,2018 Volkswagen Atlas 3.6L SE w/Technology,"56,559 mi.","$28,911",Emich VW of Boulder,/vehicledetail/0a8a9377-c544-4758-8eff-116c869cbfc2/
148,2022 Buick Enclave Premium,"2,929 mi.","$48,989",Corwin Ford Reno,/vehicledetail/4145c7b1-230d-4a58-bd62-5cd6b4ff097e/
149,2020 Ford F-350 Lariat Super Duty,"15,126 mi.","$78,940",Corwin Ford Reno,/vehicledetail/3325c8b7-2310-4884-905f-9564918f1ed9/
150,2019 Mitsubishi Outlander SE,"45,814 mi.","$23,990",Budget Motors,/vehicledetail/dcfe00b2-c6ee-4bf2-bc8d-dcdb1287c64d/
151,2019 Volkswagen Passat 2.0T SE R-Line,"41,848 mi.","$24,895",Lithia Hyundai of Reno,/vehicledetail/8e09c7b3-ab71-4c56-9299-4937d7230089/
152,2015 Hyundai Genesis 3.8,"34,664 mi.","$21,995",Lithia Hyundai of Reno,/vehicledetail/9b30dfa9-d5a6-4b05-949d-22868c9433fa/
153,2020 BMW 230 i,"45,191 mi.","$27,995",Lithia Reno Subaru,/vehicledetail/b7cfdf9b-35b2-4c5e-a1fd-dd4f95b0956c/
154,2022 Acura ILX Premium & A-SPEC Packages,"4,193 mi.","$33,777",Dolan Toyota,/vehicledetail/59a5b68d-b541-4154-bb64-09ad3c304d18/
155,2021 Volkswagen Atlas Cross Sport 2.0T SEL,"15,055 mi.","$38,491",Dolan Toyota,/vehicledetail/511473ad-51dd-4a15-aba2-80816691732f/
156,2022 Jeep Compass Limited,"7,546 mi.","$33,280",Lithia Chrysler Jeep of Reno,/vehicledetail/b5d443dc-b69e-4e80-89e7-1abb46760349/
157,2018 Land Rover Range Rover Sport HSE Dynamic,"38,863 mi.","$69,987",Lithia Chrysler Jeep of Reno,/vehicledetail/18a6a95a-359e-4cbd-99a8-e15e7e604bc6/
158,2015 Buick Enclave Premium,"44,062 mi.","$23,991",Corwin Reno Buick GMC Cadillac,/vehicledetail/340ca3d1-91a7-4801-9cfd-10ac74d09808/
159,2015 Nissan Pathfinder Platinum,"133,981 mi.","$16,500",United Nissan Reno,/vehicledetail/2db7d04b-a1ca-41fb-b9b9-78b34ea01033/
160,2020 INFINITI QX80 Luxe,"38,263 mi.","$49,500",United Nissan Reno,/vehicledetail/75ba0822-daa8-4a23-ade2-db874b9ee72f/
161,2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,"5,225 mi.","$46,939",Bill Pearce Courtesy Honda,/vehicledetail/550acf0f-bf96-478b-8ffc-f3efd9d52709/
162,2018 Ford Transit Connect XL,"71,223 mi.","$23,499",Bill Pearce Courtesy Honda,/vehicledetail/dd8a45eb-3b9a-400e-a571-93f13754eb16/
163,2015 RAM 2500 Laramie,"70,754 mi.","$42,491",Dolan Dodge Ram FIAT,/vehicledetail/2af939e3-ef90-494b-b265-7c2a033976c9/
164,2019 Ford Transit-250 148 WB Medium Roof Cargo,"47,341 mi.","$43,998",Paso Robles Chevrolet,/vehicledetail/aa31b18d-8aa1-42bb-b4e8-388e35498d34/
165,2008 Cadillac Escalade EXT Base,"53,190 mi.","$33,000",Porterville Ford,/vehicledetail/3c7cde28-76ce-4a01-96b3-ee7d9d0d8cdf/
166,2018 GMC Sierra 2500 Denali,"64,758 mi.","$52,997",Ken Fowler Subaru,/vehicledetail/dc77ea07-5126-43bc-b3b9-d76b271d294f/
167,2017 Chevrolet Silverado 2500 High Country,"117,465 mi.","$46,987",Dolan Fernley Chrysler Jeep Dodge Ram,/vehicledetail/42e7ba05-ff23-411a-bd54-f39806ad6fa6/
