,Vehicle Name,Price,Mileage,Dealer Name,Link
120,2013 BMW X3 xDrive28i,"$12,300","87,828 mi.","
Shift Bay Area
",http://www.cars.com/vehicledetail/29e0a174-adf9-4c16-bc37-89bddd4140c0/
121,2015 Maserati GranTurismo Base,"$55,500","23,500 mi.","
Inflowtech Motors
",http://www.cars.com/vehicledetail/8a462b52-507a-48c5-8d55-9e5fb826a2b5/
122,2016 Lincoln Navigator L Select,"$28,999","65,095 mi.","
Lexus of Serramonte
",http://www.cars.com/vehicledetail/4bdf27c8-09cb-46bd-9693-c0a2b761b4a1/
123,2016 Chevrolet Volt Premier,"$22,500","60,430 mi.","
Green Light Auto Wholesale
",http://www.cars.com/vehicledetail/698e89e0-a492-4a0a-89c1-f522f74ae037/
124,2021 Porsche Macan GTS,"$77,889","21,618 mi.","
Audi Fresno
",http://www.cars.com/vehicledetail/81643a17-8caa-44c7-beee-35b63be5657e/
125,2020 BMW 530 i xDrive,"$31,400","61,734 mi.","
INFINITI of San Jose
",http://www.cars.com/vehicledetail/3a800a7a-ef89-40df-aa7b-b64d6ad176d4/
126,2013 Volvo XC60 T6 R-Design Platinum,"$16,477","72,716 mi.","
Mercedes-Benz of Fresno
",http://www.cars.com/vehicledetail/9beb4361-bb49-4450-9eb9-02cff5b61335/
127,2016 Subaru Impreza 2.0i Premium,"$19,900","27,104 mi.","
Fresno Lexus
",http://www.cars.com/vehicledetail/2141061a-4611-4bdc-b7e5-ea4bfb1e6bcb/
128,2022 BMW M3 Competition xDrive,"$99,991","2,248 mi.","
Porsche Marin
",http://www.cars.com/vehicledetail/e3bf8bd6-565c-4fa7-af5d-99e271b2d16a/
129,2021 Lexus IS 350 F Sport,"$46,063","12,959 mi.","
Lithia Subaru of Fresno
",http://www.cars.com/vehicledetail/1d81c4c7-86c5-4e79-8374-31c8e3153f10/
130,2018 Jaguar E-PACE R-Dynamic S,"$29,994","39,412 mi.","
Marin Luxury Cars - Jaguar Land Rover
",http://www.cars.com/vehicledetail/8b58db37-c080-4795-bcc8-c8c8518b90e4/
131,2021 Audi RS Q8 4.0T quattro,"$124,988","5,746 mi.","
Marin Mazda
",http://www.cars.com/vehicledetail/a1803d04-dc6c-4a51-b146-1ced416dcf67/
132,2019 Jaguar I-PACE First Edition,"$50,995","32,896 mi.","
Volkswagen Marin
",http://www.cars.com/vehicledetail/f69992bc-e272-4669-8d20-83cd7308fd81/
133,2015 Audi SQ5 3.0T Premium Plus,"$26,976","68,786 mi.","
Volkswagen Marin
",http://www.cars.com/vehicledetail/1f70e2da-0147-47ec-9d75-968d7633bab6/
134,2015 Hyundai Genesis 3.8,"$23,697","48,091 mi.","
DriveTime of Fresno
",http://www.cars.com/vehicledetail/c93a8a77-8006-4dfa-a7d6-51156564d603/
135,2018 Lexus ES 350 Base,"$27,490","46,149 mi.","
INFINITI of Marin
",http://www.cars.com/vehicledetail/f4da07a4-20c5-4cac-944a-ff8fccaaf1e7/
136,2017 Lamborghini Huracan ,"$259,991","21,023 mi.","
San Francisco Exotic Cars
",http://www.cars.com/vehicledetail/087906e5-b795-4cb3-9b6b-d16e9fc03ecc/
137,2020 BMW 430 i,"$35,993","12,109 mi.","
BMW of Monterey
",http://www.cars.com/vehicledetail/ec1834e3-b4b3-49b2-ba91-e4ac3a336464/
